trade_date,open,high,low,close,vol,pct_chg
2023-06-06,11.72,11.72,11.07,11.15,488498.0,-3.4632
2023-06-07,11.26,11.45,11.09,11.31,282285.61,1.435
2023-06-08,11.2,11.34,11.08,11.23,240671.86,-0.7073
2023-06-09,11.23,11.52,11.12,11.51,318020.99,2.4933
2023-06-12,11.48,11.75,11.41,11.63,368610.42,1.0426
2023-06-13,11.45,11.84,11.44,11.74,385115.86,0.9458
2023-06-14,11.71,11.71,11.51,11.63,287828.24,-0.937
2023-06-15,11.56,11.71,11.43,11.46,278551.78,-1.4617
2023-06-16,11.37,11.59,11.16,11.47,247243.34,0.0873
2023-06-19,11.49,11.69,11.4,11.57,255045.18,0.8718
2023-06-20,11.49,11.64,11.38,11.54,219546.4,-0.2593
2023-06-21,11.6,11.6,11.22,11.22,187282.75,-2.773
2023-06-26,11.13,11.38,10.6,10.63,259339.5,-5.2585
2023-06-27,10.71,10.77,10.57,10.71,156149.29,0.7526
2023-06-28,10.7,10.71,10.1,10.39,217652.57,-2.9879
2023-06-29,10.35,10.51,10.29,10.45,167839.36,0.5775
2023-06-30,10.4,10.6,10.33,10.54,160342.28,0.8612
2023-07-03,10.58,10.58,10.3,10.48,189283.11,-0.5693
2023-07-04,10.48,10.55,10.43,10.51,143822.57,0.2863
2023-07-05,10.53,10.57,10.32,10.34,163395.99,-1.6175
2023-07-06,10.35,10.61,10.26,10.42,204026.85,0.7737
2023-07-07,10.38,10.38,10.08,10.16,206433.87,-2.4952
2023-07-10,10.26,10.28,10.05,10.07,136869.52,-0.8858
2023-07-11,10.16,10.23,10.07,10.19,139142.36,1.1917
2023-07-12,10.16,10.19,9.9,9.92,205689.18,-2.6497
2023-07-13,9.94,10.12,9.9,10.1,165504.9,1.8145
2023-07-14,10.08,10.33,10.07,10.27,210176.46,1.6832
2023-07-17,10.23,10.29,10.15,10.22,125631.21,-0.4869
2023-07-18,10.26,10.26,10.09,10.17,115879.38,-0.4892
2023-07-19,10.14,10.26,10.1,10.17,94627.51,0.0
2023-07-20,10.18,10.19,10.0,10.04,136612.46,-1.2783
2023-07-21,10.0,10.09,9.91,9.95,118800.0,-0.8964
2023-07-24,9.93,10.17,9.89,10.05,109367.73,1.005
2023-07-25,10.15,10.27,10.1,10.26,174488.64,2.0896
2023-07-26,10.31,10.32,10.07,10.1,147697.01,-1.5595
2023-07-27,10.13,10.16,9.96,9.98,118239.99,-1.1881
2023-07-28,9.97,10.27,9.89,10.22,191097.9,2.4048
2023-07-31,10.22,10.3,10.19,10.25,145791.0,0.2935
2023-08-01,10.22,10.29,10.15,10.27,112066.2,0.1951
2023-08-02,10.2,10.36,10.18,10.33,157029.11,0.5842
2023-08-03,10.26,10.35,10.21,10.3,108155.87,-0.2904
2023-08-04,10.3,10.64,10.3,10.64,354529.31,3.301
2023-08-07,10.64,10.68,10.5,10.55,196165.31,-0.8459
2023-08-08,10.57,10.6,10.43,10.46,160555.11,-0.8531
2023-08-09,10.4,10.78,10.38,10.5,217690.19,0.3824
2023-08-10,10.42,10.68,10.31,10.62,266150.88,1.1429
2023-08-11,10.55,10.56,10.2,10.2,236300.08,-3.9548
2023-08-14,10.08,10.42,10.03,10.39,176905.82,1.8627
2023-08-15,10.37,10.42,10.06,10.2,145951.8,-1.8287
2023-08-16,10.09,10.21,9.92,9.96,156553.96,-2.3529
2023-08-17,9.92,10.1,9.5,10.07,217437.09,1.1044
2023-08-18,10.01,10.07,9.69,9.7,150634.6,-3.6743
