ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002197.SZ,20240604,3.08,3.11,3.08,3.08,3.24,-0.16,-4.9383,232452.81,71633.68
002197.SZ,20240603,3.32,3.35,3.24,3.24,3.41,-0.17,-4.9853,269593.02,87928.036
002197.SZ,20240531,3.41,3.52,3.41,3.41,3.59,-0.18,-5.0139,443988.86,151886.352
002197.SZ,20240530,3.59,3.59,3.59,3.59,3.78,-0.19,-5.0265,12890.0,4627.51
002197.SZ,20240529,3.91,3.93,3.78,3.78,3.98,-0.2,-5.0251,372792.75,141601.02
002197.SZ,20240528,4.16,4.19,3.98,3.98,4.19,-0.21,-5.0119,376769.72,151911.284
002197.SZ,20240527,4.43,4.48,4.18,4.19,4.4,-0.21,-4.7727,351704.36,149733.85
002197.SZ,20240524,4.35,4.49,4.25,4.4,4.47,-0.07,-1.566,486641.71,210980.948
002197.SZ,20240523,4.22,4.56,4.22,4.47,4.44,0.03,0.6757,547591.01,240197.681
002197.SZ,20240522,4.44,4.44,4.44,4.44,4.67,-0.23,-4.9251,38487.0,17088.228
002197.SZ,20240521,4.67,4.73,4.67,4.67,4.92,-0.25,-5.0813,125359.0,58596.123
002197.SZ,20240520,5.13,5.23,4.92,4.92,5.18,-0.26,-5.0193,397448.84,200094.608
002197.SZ,20240517,5.35,5.38,5.17,5.18,5.43,-0.25,-4.6041,492540.32,259127.523
002197.SZ,20240516,5.54,5.67,5.26,5.43,5.54,-0.11,-1.9856,847260.38,457035.772
002197.SZ,20240515,5.54,5.54,5.54,5.54,5.83,-0.29,-4.9743,185639.0,102844.006
002197.SZ,20240514,5.83,5.83,5.83,5.83,6.14,-0.31,-5.0489,8298.0,4837.734
002197.SZ,20240513,6.14,6.14,6.14,6.14,6.46,-0.32,-4.9536,3395.0,2084.53
002197.SZ,20240510,6.46,6.46,6.46,6.46,6.8,-0.34,-5.0,2902.0,1874.692
002197.SZ,20240509,6.8,6.8,6.8,6.8,7.16,-0.36,-5.0279,1462.0,994.16
002197.SZ,20240508,7.16,7.16,7.16,7.16,7.54,-0.38,-5.0398,1837.0,1315.292
002197.SZ,20240507,7.54,7.54,7.54,7.54,7.94,-0.4,-5.0378,669.0,504.426
002197.SZ,20240506,7.94,7.94,7.94,7.94,8.36,-0.42,-5.0239,2516.0,1997.704
002197.SZ,20240429,7.91,8.38,7.88,8.36,8.18,0.18,2.2005,195791.33,161052.403
002197.SZ,20240426,7.96,8.22,7.95,8.18,8.01,0.17,2.1223,134308.34,109242.035
002197.SZ,20240425,7.96,8.09,7.89,8.01,8.0,0.01,0.125,102613.37,82189.197
002197.SZ,20240424,7.74,8.03,7.7,8.0,7.74,0.26,3.3592,136000.9,107998.681
002197.SZ,20240423,7.59,7.84,7.58,7.74,7.57,0.17,2.2457,135739.79,104932.207
002197.SZ,20240422,7.57,7.75,7.39,7.57,7.63,-0.06,-0.7864,107479.13,81396.62
002197.SZ,20240419,7.84,7.86,7.59,7.63,7.89,-0.26,-3.2953,128889.51,99051.752
002197.SZ,20240418,7.88,8.03,7.7,7.89,7.88,0.01,0.1269,135551.54,106781.837
002197.SZ,20240417,7.38,7.9,7.38,7.88,7.24,0.64,8.8398,183584.94,141546.331
002197.SZ,20240416,7.97,7.97,7.22,7.24,8.01,-0.77,-9.613,225510.35,168862.614
002197.SZ,20240415,8.3,8.43,7.87,8.01,8.38,-0.37,-4.4153,196135.46,158330.437
002197.SZ,20240412,8.51,8.6,8.37,8.38,8.52,-0.14,-1.6432,108374.22,91793.166
002197.SZ,20240411,8.49,8.64,8.41,8.52,8.49,0.03,0.3534,108880.0,93281.31
002197.SZ,20240410,8.77,8.81,8.4,8.49,8.78,-0.29,-3.303,140334.39,120185.042
002197.SZ,20240409,8.65,8.8,8.62,8.78,8.67,0.11,1.2687,104764.16,91396.846
002197.SZ,20240408,8.74,8.85,8.55,8.67,8.73,-0.06,-0.6873,139736.32,121666.374
002197.SZ,20240403,8.94,8.96,8.61,8.73,8.94,-0.21,-2.349,187131.9,163444.269
002197.SZ,20240402,9.31,9.32,8.88,8.94,9.31,-0.37,-3.9742,299356.05,269617.832
002197.SZ,20240401,9.28,9.41,9.24,9.31,9.2,0.11,1.1957,192987.34,179500.217
002197.SZ,20240329,9.38,9.39,8.95,9.2,9.38,-0.18,-1.919,304460.31,277739.53
002197.SZ,20240328,9.18,9.49,9.1,9.38,9.18,0.2,2.1786,270155.95,252581.881
002197.SZ,20240327,9.92,9.95,9.15,9.18,10.17,-0.99,-9.7345,482227.18,457720.558
002197.SZ,20240326,9.63,10.44,9.6,10.17,9.84,0.33,3.3537,568530.05,571283.072
002197.SZ,20240325,10.0,10.35,9.75,9.84,9.75,0.09,0.9231,636368.91,639356.412
002197.SZ,20240322,9.66,9.87,9.44,9.75,9.7,0.05,0.5155,312261.81,302450.49
002197.SZ,20240321,9.63,9.77,9.58,9.7,9.65,0.05,0.5181,218091.98,211313.86
002197.SZ,20240320,9.49,9.65,9.46,9.65,9.52,0.13,1.3655,186039.26,178449.232
002197.SZ,20240319,9.51,9.63,9.49,9.52,9.55,-0.03,-0.3141,200848.09,191916.96
002197.SZ,20240318,9.49,9.55,9.43,9.55,9.46,0.09,0.9514,194914.58,185049.7
002197.SZ,20240315,9.3,9.46,9.24,9.46,9.39,0.07,0.7455,151259.61,141607.455
002197.SZ,20240314,9.47,9.51,9.22,9.39,9.55,-0.16,-1.6754,200717.84,188413.615
002197.SZ,20240313,9.48,9.64,9.43,9.55,9.48,0.07,0.7384,264366.89,251972.422
002197.SZ,20240312,9.75,9.8,9.39,9.48,9.51,-0.03,-0.3155,297578.78,283755.261
002197.SZ,20240311,9.18,9.65,9.1,9.51,9.33,0.18,1.9293,358792.96,336497.766
